name                    |obsid      |ra         |dec        |start_time         |processing_date    |xrt_exposure|uvot_exposure|bat_exposure|archive_date|_offset
ASASSN-15lh             |00033886073|22 02 08.96|-61 36 07.8|2016-12-24T09:34:58|2017-01-03T00:00:00|  4699.34300|   4646.77800|  4791.00000|  2017-01-04| 3.5317
ASASSN-15lh             |00033830033| 22 01 48.3|-61 36 01.2|2015-08-25T04:42:57|2015-09-04T00:00:00|  2477.72800|   1961.36600|  2496.00000|  2015-09-05| 4.8225
ASASSN-15lh             |00033886008|22 02 11.26|-61 35 56.7|2015-12-10T07:45:58|2015-12-20T00:00:00|   793.59400|    767.36100|   812.00000|  2015-12-21| 3.6669
ASASSN-15lh             |00033886045|22 02 14.48|-61 35 42.4|2016-08-01T10:07:58|2016-08-11T00:00:00|   885.07400|    867.43000|   892.00000|  2016-08-12| 3.8729
ASASSN-15lh             |00033886005|22 01 57.13|-61 35 35.5|2015-10-22T15:41:57|2015-11-01T00:00:00|  1913.05800|   1833.51700|  1930.00000|  2015-11-02| 4.5406
ASASSN-15lh             |00033830032|22 02 22.90|-61 34 56.0|2015-08-19T13:38:55|2015-08-29T00:00:00|   946.57500|    903.42100|   964.00000|  2015-08-30| 4.7281
ASASSN-15lh             |00033886049|22 02 24.50|-61 34 41.4|2016-08-08T23:58:58|2016-08-19T00:00:00|  1423.90300|   1433.51800|  1480.00000|  2016-08-19| 5.0039
BAT subthreshold trigger|00346784000|22 04 31.98|-61 23 22.9|2009-03-17T12:39:41|2015-12-29T00:00:00|   510.16600|    406.71800|  2707.27000|  2009-03-28|22.9594

Number of rows:    153
Number of columns: 11


---- Messages ----
----
Info: Search Radius
Search radius: 25' from swiftmastr
----
----
Info: Name resolution
Position ASASSN-15lh corresponds to J2000 decimal coordinates:330.56436 -61.65962
----
